Date,East Coast,Midwest,Gulf Coast,Rocky Mountain,West Coast
7/27/20,2.093,2.075,1.856,2.324,2.824
7/20/20,2.106,2.091,1.875,2.318,2.816
7/13/20,2.112,2.125,1.87,2.326,2.8
7/6/20,2.1,2.102,1.859,2.325,2.768
6/29/20,2.086,2.11,1.87,2.315,2.754
6/22/20,2.05,2.056,1.815,2.272,2.72
6/15/20,2.022,2.026,1.776,2.234,2.68
6/8/20,1.95,1.987,1.68,2.177,2.632
6/1/20,1.913,1.893,1.619,2.093,2.578
5/25/20,1.906,1.885,1.598,1.991,2.552
5/18/20,1.833,1.783,1.541,1.82,2.479
5/11/20,1.815,1.751,1.501,1.764,2.452
5/4/20,1.794,1.573,1.488,1.772,2.441
4/27/20,1.81,1.478,1.508,1.809,2.454
4/20/20,1.844,1.51,1.544,1.866,2.515
4/13/20,1.878,1.551,1.576,1.921,2.58
4/6/20,1.921,1.629,1.658,2.008,2.682
3/30/20,1.98,1.735,1.763,2.106,2.759
3/23/20,2.084,1.873,1.86,2.237,2.878
3/16/20,2.193,2.037,1.966,2.32,3.023
3/9/20,2.302,2.233,2.059,2.381,3.111
3/2/20,2.351,2.3,2.112,2.419,3.132
2/24/20,2.4,2.355,2.151,2.44,3.14
2/17/20,2.364,2.307,2.083,2.473,3.135
2/10/20,2.369,2.26,2.087,2.507,3.145
2/3/20,2.393,2.313,2.136,2.526,3.155
1/27/20,2.45,2.371,2.195,2.551,3.17
1/20/20,2.496,2.39,2.23,2.574,3.184
1/13/20,2.519,2.441,2.275,2.608,3.199
1/6/20,2.539,2.434,2.277,2.642,3.208
12/30/19,2.501,2.452,2.282,2.663,3.219
12/23/19,2.463,2.403,2.215,2.69,3.228
12/16/19,2.458,2.391,2.228,2.73,3.274
12/9/19,2.478,2.424,2.203,2.791,3.337
12/2/19,2.478,2.424,2.225,2.817,3.407
11/25/19,2.462,2.403,2.238,2.825,3.471
11/18/19,2.453,2.435,2.22,2.835,3.54
11/11/19,2.474,2.436,2.262,2.819,3.591
11/4/19,2.476,2.416,2.23,2.791,3.602
10/28/19,2.454,2.41,2.245,2.737,3.602
10/21/19,2.482,2.476,2.279,2.728,3.649
10/14/19,2.462,2.478,2.257,2.706,3.665
10/7/19,2.486,2.499,2.282,2.712,3.642
9/30/19,2.506,2.488,2.326,2.709,3.547
9/23/19,2.54,2.585,2.353,2.698,3.337
9/16/19,2.453,2.456,2.233,2.654,3.254
9/9/19,2.462,2.438,2.236,2.633,3.254
9/2/19,2.48,2.464,2.226,2.628,3.249
8/26/19,2.483,2.495,2.261,2.65,3.227
8/19/19,2.517,2.517,2.269,2.671,3.242
8/12/19,2.552,2.522,2.324,2.688,3.259
8/5/19,2.599,2.633,2.385,2.699,3.292
7/29/19,2.629,2.659,2.422,2.708,3.306
7/22/19,2.672,2.689,2.463,2.735,3.328
7/15/19,2.68,2.763,2.455,2.771,3.356
7/8/19,2.661,2.668,2.418,2.796,3.379
7/1/19,2.626,2.629,2.368,2.823,3.386
6/24/19,2.541,2.562,2.299,2.868,3.389
6/17/19,2.557,2.541,2.336,2.91,3.452
6/10/19,2.62,2.62,2.362,2.948,3.521
6/3/19,2.664,2.746,2.424,2.98,3.596
5/27/19,2.696,2.712,2.473,2.979,3.632
5/20/19,2.723,2.742,2.517,2.982,3.667
5/13/19,2.754,2.738,2.518,2.964,3.69
5/6/19,2.792,2.767,2.557,2.919,3.707
4/29/19,2.78,2.765,2.582,2.843,3.671
4/22/19,2.733,2.722,2.535,2.759,3.629
4/15/19,2.718,2.736,2.536,2.64,3.579
4/8/19,2.653,2.67,2.452,2.539,3.418
4/1/19,2.618,2.626,2.447,2.469,3.265
3/25/19,2.567,2.562,2.379,2.4,3.144
3/18/19,2.518,2.475,2.301,2.321,3.027
3/11/19,2.43,2.4,2.217,2.253,2.978
3/4/19,2.385,2.329,2.181,2.212,2.945
2/25/19,2.349,2.306,2.113,2.193,2.934
2/18/19,2.267,2.207,2.048,2.182,2.922
2/11/19,2.236,2.15,1.959,2.166,2.921
2/4/19,2.244,2.08,1.931,2.175,2.912
1/28/19,2.249,2.052,1.959,2.231,2.928
1/21/19,2.242,2.039,1.914,2.272,2.957
1/14/19,2.217,2.047,1.91,2.306,2.98
1/7/19,2.216,2.003,1.886,2.373,3.012
