Date,Gasoline Price
7/27/20,2.175
7/20/20,2.186
7/13/20,2.195
7/6/20,2.177
6/29/20,2.174
6/22/20,2.129
6/15/20,2.098
6/8/20,2.036
6/1/20,1.974
5/25/20,1.96
5/18/20,1.878
5/11/20,1.851
5/4/20,1.789
4/27/20,1.773
4/20/20,1.812
4/13/20,1.853
4/6/20,1.924
3/30/20,2.005
3/23/20,2.12
3/16/20,2.248
3/9/20,2.375
3/2/20,2.423
2/24/20,2.466
2/17/20,2.428
2/10/20,2.419
2/3/20,2.455
1/27/20,2.506
1/20/20,2.537
1/13/20,2.57
1/6/20,2.578
12/30/19,2.571
12/23/19,2.532
12/16/19,2.536
12/9/19,2.561
12/2/19,2.575
11/25/19,2.579
11/18/19,2.592
11/11/19,2.615
11/4/19,2.605
10/28/19,2.596
10/21/19,2.638
10/14/19,2.629
10/7/19,2.645
9/30/19,2.642
9/23/19,2.654
9/16/19,2.552
9/9/19,2.55
9/2/19,2.563
8/26/19,2.574
8/19/19,2.598
8/12/19,2.624
8/5/19,2.688
7/29/19,2.715
7/22/19,2.75
7/15/19,2.779
7/8/19,2.743
7/1/19,2.713
6/24/19,2.654
6/17/19,2.67
6/10/19,2.732
6/3/19,2.807
5/27/19,2.822
5/20/19,2.852
5/13/19,2.866
5/6/19,2.897
4/29/19,2.887
4/22/19,2.841
4/15/19,2.828
4/8/19,2.745
4/1/19,2.691
3/25/19,2.623
3/18/19,2.548
3/11/19,2.471
3/4/19,2.422
2/25/19,2.39
2/18/19,2.317
2/11/19,2.276
2/4/19,2.254
1/28/19,2.256
1/21/19,2.251
1/14/19,2.247
1/7/19,2.237
