,Month,Rocky Mountain,Gulf Coast,Midwest,East Coast,West Coast
0,Jul-20,2.323,1.865,2.0980000000000003,2.103,2.802
1,Jun-20,2.218,1.7519999999999998,2.0140000000000002,2.004,2.673
2,May-20,1.837,1.5319999999999998,1.7480000000000002,1.837,2.481
3,Apr-20,1.901,1.5719999999999998,1.5419999999999998,1.8630000000000002,2.5580000000000003
4,Mar-20,2.293,1.952,2.036,2.182,2.9810000000000003
5,Feb-20,2.487,2.114,2.309,2.3819999999999997,3.1439999999999997
6,Jan-20,2.594,2.244,2.4090000000000003,2.501,3.19
7,Dec-19,2.738,2.231,2.419,2.476,3.293
8,Nov-19,2.818,2.238,2.423,2.4659999999999997,3.551
9,Oct-19,2.721,2.266,2.4659999999999997,2.471,3.64
10,Sep-19,2.6639999999999997,2.275,2.4859999999999998,2.488,3.3280000000000003
11,Aug-19,2.677,2.31,2.542,2.5380000000000003,3.255
12,Jul-19,2.767,2.425,2.682,2.654,3.3510000000000004
13,Jun-19,2.927,2.355,2.617,2.596,3.49
14,May-19,2.9610000000000003,2.516,2.74,2.741,3.674
15,Apr-19,2.65,2.51,2.7039999999999997,2.7,3.512
16,Mar-19,2.2969999999999997,2.27,2.4419999999999997,2.475,3.0239999999999996
17,Feb-19,2.1790000000000003,2.013,2.186,2.274,2.9219999999999997
18,Jan-19,2.296,1.9169999999999998,2.035,2.231,2.969
19,Dec-18,2.572,2.0269999999999997,2.126,2.3409999999999997,3.133
20,Nov-18,2.863,2.342,2.4619999999999997,2.588,3.377
21,Oct-18,2.98,2.59,2.748,2.7880000000000003,3.472
22,Sep-18,3.011,2.56,2.755,2.78,3.34
23,Aug-18,2.9560000000000004,2.5780000000000003,2.753,2.787,3.322
24,Jul-18,2.947,2.5980000000000003,2.7689999999999997,2.783,3.3739999999999997
25,Jun-18,2.9810000000000003,2.673,2.793,2.82,3.4389999999999996
26,May-18,2.926,2.65,2.803,2.846,3.4419999999999997
27,Apr-18,2.7089999999999996,2.496,2.62,2.7030000000000003,3.3689999999999998
28,Mar-18,2.458,2.309,2.469,2.543,3.2
29,Feb-18,2.487,2.306,2.448,2.577,3.138
30,Jan-18,2.458,2.282,2.4730000000000003,2.53,3.022
31,Dec-17,2.494,2.2,2.365,2.455,2.977
32,Nov-17,2.54,2.275,2.498,2.5140000000000002,3.055
33,Oct-17,2.536,2.28,2.386,2.496,2.943
34,Sep-17,2.6,2.474,2.4730000000000003,2.697,3.02
35,Aug-17,2.435,2.1430000000000002,2.285,2.326,2.8739999999999997
36,Jul-17,2.34,2.043,2.207,2.242,2.8160000000000003
37,Jun-17,2.414,2.114,2.231,2.2880000000000003,2.88
38,May-17,2.397,2.1590000000000003,2.281,2.345,2.9010000000000002
39,Apr-17,2.355,2.1959999999999997,2.334,2.373,2.875
40,Mar-17,2.3,2.082,2.222,2.275,2.845
41,Feb-17,2.247,2.072,2.199,2.294,2.745
42,Jan-17,2.254,2.134,2.272,2.365,2.674
43,Dec-16,2.138,2.03,2.185,2.273,2.571
44,Nov-16,2.209,1.954,2.032,2.198,2.6239999999999997
45,Oct-16,2.267,2.037,2.146,2.225,2.682
46,Sep-16,2.263,1.9769999999999999,2.153,2.1790000000000003,2.6319999999999997
47,Aug-16,2.237,1.9569999999999999,2.142,2.108,2.577
48,Jul-16,2.283,2.0269999999999997,2.148,2.177,2.72
49,Jun-16,2.3209999999999997,2.1180000000000003,2.384,2.289,2.7260000000000004
50,May-16,2.248,2.025,2.219,2.237,2.6489999999999996
51,Apr-16,2.041,1.882,2.0269999999999997,2.072,2.583
52,Mar-16,1.875,1.754,1.91,1.905,2.4219999999999997
53,Feb-16,1.724,1.5530000000000002,1.599,1.771,2.251
54,Jan-16,1.919,1.694,1.756,1.935,2.569
55,Dec-15,1.994,1.786,1.8780000000000001,2.042,2.563
56,Nov-15,2.14,1.8980000000000001,2.076,2.125,2.616
57,Oct-15,2.39,2.009,2.3209999999999997,2.165,2.727
58,Sep-15,2.64,2.0669999999999997,2.305,2.238,2.958
59,Aug-15,2.81,2.31,2.5839999999999996,2.474,3.33
60,Jul-15,2.8310000000000004,2.494,2.678,2.679,3.509
61,Jun-15,2.772,2.546,2.7289999999999996,2.7119999999999997,3.359
62,May-15,2.654,2.443,2.565,2.62,3.465
63,Apr-15,2.394,2.23,2.363,2.417,3.0069999999999997
64,Mar-15,2.252,2.208,2.354,2.388,3.095
65,Feb-15,1.962,2.0069999999999997,2.177,2.209,2.546
66,Jan-15,1.97,1.9,1.945,2.218,2.4459999999999997
67,Dec-14,2.56,2.31,2.406,2.6319999999999997,2.821
68,Nov-14,3.04,2.69,2.8710000000000004,2.925,3.142
69,Oct-14,3.306,2.965,3.0810000000000004,3.1830000000000003,3.4739999999999998
70,Sep-14,3.5789999999999997,3.179,3.36,3.375,3.728
71,Aug-14,3.6510000000000002,3.27,3.415,3.451,3.858
72,Jul-14,3.6430000000000002,3.411,3.515,3.605,3.9789999999999996
73,Jun-14,3.555,3.4530000000000003,3.697,3.653,4.01
74,May-14,3.505,3.444,3.613,3.673,4.024
75,Apr-14,3.4530000000000003,3.4619999999999997,3.628,3.639,3.989
76,Mar-14,3.438,3.285,3.55,3.514,3.79
77,Feb-14,3.2060000000000004,3.139,3.3280000000000003,3.395,3.5580000000000003
78,Jan-14,3.137,3.1069999999999998,3.2239999999999998,3.403,3.513
79,Dec-13,3.08,3.091,3.1510000000000002,3.387,3.487
80,Nov-13,3.216,3.0380000000000003,3.145,3.3,3.4989999999999997
81,Oct-13,3.44,3.109,3.2710000000000004,3.346,3.6710000000000003
82,Sep-13,3.6010000000000004,3.298,3.5,3.5180000000000002,3.823
83,Aug-13,3.636,3.397,3.523,3.576,3.813
84,Jul-13,3.623,3.407,3.535,3.562,3.915
85,Jun-13,3.702,3.359,3.748,3.4960000000000004,3.9010000000000002
